District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,PreKindergarten,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Student Open Date,Interdistrict Magnet,Location
Wallingford School District,Lyman Hall High School,Public Schools,1486111,70 Pond Hill Road,Wallingford,06492-4809,203-294-5350,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"70 Pond Hill Road
Wallingford, CT 06492-4809
(41.436996, -72.821613)"
Waterford School District,Waterford School District,Public School Districts,1520011,15 Rope Ferry Road,Waterford,06385,860-444-5801,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"15 Rope Ferry Road
Waterford, CT 06385
(41.34243, -72.131099)"
Regional School District 06,James Morris School,Regional Schools,2060212,10 East St.,Morris,06763-1801,860-567-7420,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2002-07-01T00:00:00.000,0,"10 East St.
Morris, CT 06763-1801
(41.684018, -73.197919)"
Guilford School District,Melissa Jones School,Public Schools,0600311,181 Ledge Hill Rd.,Guilford,06437-1024,203-457-0773,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"181 Ledge Hill Rd.
Guilford, CT 06437-1024
(41.368331, -72.727379)"
New Britain School District,New Britain High School,Public Schools,0896111,110 Mill St.,New Britain,06051-3413,860-225-6350,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"110 Mill St.
New Britain, CT 06051-3413
(41.651125, -72.778077)"
Coventry School District,Coventry High School,Public Schools,0326111,78 Ripley Hill Road,Coventry,06238-1653,860-742-7346,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"78 Ripley Hill Road
Coventry, CT 06238-1653
(41.782638, -72.314046)"
Connecticut Technical Education and Career System,Henry Abbott Technical High School,CT Technical Education and Career Schools,9001216,21 Hayestown Ave.,Danbury,06811,203-797-4460,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,"21 Hayestown Ave.
Danbury, CT 06811
(41.413187, -73.452986)"
Waterbury School District,Carrington School,Public Schools,1512711,24 Kenmore Ave.,Waterbury,06708-1845,203-574-8184,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"24 Kenmore Ave.
Waterbury, CT 06708-1845
(41.572176, -73.082798)"
Norwich School District,Wequonnoc Magnet School,Public Schools,1041511,155 Providence St.,Taftville,06380-1150,860-823-4210,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"155 Providence St.
Taftville, CT 06380-1150
(41.568862, -72.054868)"
Sterling School District,Sterling Community School,Public Schools,1360311,251 Sterling Rd.,Sterling,06377,860-564-2728,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2007-09-03T00:00:00.000,0,"251 Sterling Rd.
Sterling, CT 06377
(41.707179, -71.83616)"
Danbury School District,Western CT Academy of International Studies Elementary Magnet School,Public Schools,0341911,201 University Blvd.,Danbury,06810,203-778-7462,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2006-07-01T00:00:00.000,1,"201 University Blvd.
Danbury, CT 06810
(41.403031, -73.493161)"
Regional School District 14,Woodbury Middle School,Regional Schools,2145112,67 Washington Ave.,Woodbury,06798-2816,203-263-4306,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2002-07-01T00:00:00.000,0,"67 Washington Ave.
Woodbury, CT 06798-2816
(41.550548, -73.210265)"
Hartford School District,Journalism and Media Academy,Public Schools,0647711,150 Tower Street,Hartford,06120,860-695-1818,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2009-07-01T00:00:00.000,0,"150 Tower Street
Hartford, CT 06120
(41.797635, -72.670349)"
Unified School District #1,Corrigan/Radgowski Correctional Institution,State Agency Facilities,3362415,986 Norwich-New London Tpke.,Uncasville,06382,860-848-5729,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,"986 Norwich-New London Tpke.
Uncasville, CT 06382
(41.452254, -72.107308)"
Vernon School District,Vernon Center Middle School,Public Schools,1465111,777 Hartford Tpke.,Vernon,06066-5126,860-870-6070,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"777 Hartford Tpke.
Vernon, CT 06066-5126
(41.841211, -72.461955)"
Darien School District,Darien High School,Public Schools,0356111,80 High School Ln.,Darien,06820-3399,203-655-3981,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"80 High School Ln.
Darien, CT 06820-3399
(41.083606, -73.489376)"
Westport School District,Staples High School,Public Schools,1586111,70 North Ave.,Westport,06880-2720,203-341-1210,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"70 North Ave.
Westport, CT 06880-2720
(41.154146, -73.331671)"
Capitol Region Education Council,Reggio Magnet School of the Arts,Regional Education Service Center Schools,2410314,59 Waterville Road,Avon,06001,860-674-8549,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2008-09-02T00:00:00.000,1,"59 Waterville Road
Avon, CT 06001
(41.800944, -72.819028)"
Bolton School District,Bolton High School,Public Schools,0126111,72 Brandy St.,Bolton,06043-7697,860-643-2768,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"72 Brandy St.
Bolton, CT 06043-7697
(41.760067, -72.422709)"
Southington School District,Thalberg Elementary School,Public Schools,1310911,145 Dunham Rd.,Southington,06489-1258,860-628-3370,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,
Pomfret School District,Pomfret Community School,Public Schools,1120111,20 Pomfret St.,Pomfret Center,06259,860-928-2718,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"20 Pomfret St.
Pomfret Center, CT 06259
(41.859549, -71.959183)"
Stratford School District,Franklin School,Public Schools,1380411,1895 Barnum Ave.,Stratford,06615-5307,203-385-4190,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"1895 Barnum Ave.
Stratford, CT 06615-5307
(41.193167, -73.14628)"
Killingly School District,Killingly High School,Public Schools,0696111,226 Putman Pike,Dayville,06241,860-779-6620,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"226 Putman Pike
Dayville, CT 06241
(41.856524, -71.880979)"
Bethany School District,Bethany Community School,Public Schools,0080111,44 Peck Road,Bethany,06524-3322,203-393-3350,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"44 Peck Road
Bethany, CT 06524-3322
(41.421904, -72.999047)"
West Hartford School District,King Philip Middle School,Public Schools,1555111,100 King Philip Dr.,West Hartford,06117-1316,860-233-8236,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"100 King Philip Dr.
West Hartford, CT 06117-1316
(41.793628, -72.742923)"
Trumbull School District,Tashua School,Public Schools,1440911,401 Stonehouse Rd.,Trumbull,06611-1651,203-452-4433,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"401 Stonehouse Rd.
Trumbull, CT 06611-1651
(41.275502, -73.241318)"
Wolcott School District,Wolcott High School,Public Schools,1666111,457 Bound Line Rd.,Wolcott,06716-2007,203-879-8164,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"457 Bound Line Rd.
Wolcott, CT 06716-2007
(41.60785, -72.976501)"
Farmington School District,Irving A. Robbins Middle School,Public Schools,0525111,20 Wolf Pit Rd.,Farmington,06032-2435,860-677-2683,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"20 Wolf Pit Rd.
Farmington, CT 06032-2435
(41.720426, -72.800317)"
Glastonbury School District,Glastonbury High School,Public Schools,0546111,330 Hubbard St.,Glastonbury,06033-3047,860-652-7200,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"330 Hubbard St.
Glastonbury, CT 06033-3047
(41.702969, -72.589996)"
Greenwich School District,Eastern Middle School,Public Schools,0575211,51 Hendrie Ave.,Riverside,06878-1809,203-637-1744,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"51 Hendrie Ave.
Riverside, CT 06878-1809
(41.033451, -73.581112)"
New Haven School District,Augusta Lewis Troup School,Public Schools,0931511,259 Edgewood Ave.,New Haven,06511-4106,475-220-3000,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2005-07-01T00:00:00.000,0,"259 Edgewood Ave.
New Haven, CT 06511-4106
(41.312877, -72.942497)"
Madison School District,Madison School District,Public School Districts,0760011,"10 Campus Drive, Drawer 71",Madison,06443,203-245-6300,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"10 Campus Drive, Drawer 71
Madison, CT 06443
(41.295513, -72.574685)"
Bloomfield School District,Bloomfield High School,Public Schools,0116111,5 Huckleberry Ln.,Bloomfield,06002-3190,860-286-2630,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"5 Huckleberry Ln.
Bloomfield, CT 06002-3190
(41.827095, -72.7259)"
Connecticut Technical Education and Career System,Vinal Technical High School,CT Technical Education and Career Schools,9001816,60 Daniels St.,Middletown,06457-4941,860-344-7100,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,"60 Daniels St.
Middletown, CT 06457-4941
(41.527419, -72.67441)"
Bethel School District,Bethel School District,Public School Districts,0090011,"One School Street, Box 253",Bethel,06801,203-794-8601,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,
Norwalk School District,Jefferson Magnet School,Public Schools,1030711,75 Van Buren Avenue,Norwalk,06850-3306,203-899-2870,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"75 Van Buren Avenue
Norwalk, CT 06850-3306
(41.116416, -73.420451)"
Enfield School District,Prudence Crandall School,Public Schools,0491511,150 Brainard Rd.,Enfield,06082-2649,860-253-6464,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"150 Brainard Rd.
Enfield, CT 06082-2649
(42.017854, -72.569733)"
Hartford School District,Betances STEM Magnet School,Public Schools,0643811,585 Wethersfield Avenue,Hartford,06114,860-695-2840,0,0,0,0,0,1,1,1,1,1,0,0,0,0,2012-07-01T00:00:00.000,1,"585 Wethersfield Avenue
Hartford, CT 06114
(41.739767, -72.671771)"
Bridgeport School District,Barnum School,Public Schools,0150111,495 Waterview Avenue,Bridgeport,06608,203-275-2300,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"495 Waterview Avenue
Bridgeport, CT 06608
(41.18289, -73.173931)"
Regional School District 04,John Winthrop Middle School,Regional Schools,2045112,1 Winthrop Road,Deep River,06417,860-526-9546,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2002-07-01T00:00:00.000,0,"1 Winthrop Road
Deep River, CT 06417
(41.369021, -72.457652)"
Redding School District,Redding Elementary School,Public Schools,1170111,33 Lonetown Rd.,Redding,06896,203-938-2519,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"33 Lonetown Rd.
Redding, CT 06896
(41.309182, -73.38369)"
Avon School District,Avon High School,Public Schools,0046111,510 West Avon Rd.,Avon,06001-2519,860-404-4740,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"510 West Avon Rd.
Avon, CT 06001-2519
(41.781788, -72.864161)"
New Haven School District,Lincoln-Bassett School,Public Schools,0932011,130 Bassett St.,New Haven,06511,475-220-8500,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"130 Bassett St.
New Haven, CT 06511
(41.331629, -72.930943)"
Darien School District,Middlesex Middle School,Public Schools,0355111,204 Hollow Tree Ridge Rd.,Darien,06820-4023,203-655-2518,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"204 Hollow Tree Ridge Rd.
Darien, CT 06820-4023
(41.074407, -73.498543)"
Putnam School District,Putnam School District,Public School Districts,1160011,152 Woodstock Avenue,Putnam,06260,860-963-6900,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"152 Woodstock Avenue
Putnam, CT 06260
(41.923464, -71.91579)"
Southington School District,Derynoski Elementary School,Public Schools,1311511,240 Main St.,Southington,06489-2528,860-628-3286,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"240 Main St.
Southington, CT 06489-2528
(41.595395, -72.878225)"
Hartford School District,Parkville Community School,Public Schools,0641511,47 New Park Avenue,Hartford,06106-2160,860-695-4721,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"47 New Park Avenue
Hartford, CT 06106-2160
(41.717663, -72.673933)"
Monroe School District,Stepney Elementary School,Public Schools,0850311,180 Old Newtown Rd.,Monroe,06468,203-452-2885,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"180 Old Newtown Rd.
Monroe, CT 06468
(41.321741, -73.255159)"
Canaan School District,Canaan School District,Public School Districts,0210011,246 Warren Turnpike Road,Falls Village,06031,860-824-7791,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"246 Warren Turnpike Road
Falls Village, CT 06031
(41.936793, -73.361074)"
New Haven School District,Wilbur Cross High School,Public Schools,0936111,181 Mitchell Dr.,New Haven,06511,475-220-7400,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"181 Mitchell Dr.
New Haven, CT 06511
(41.321614, -72.905948)"
Newtown School District,Hawley Elementary School,Public Schools,0970111,29 Church Hill Rd.,Newtown,06470-1644,203-426-7666,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"29 Church Hill Rd.
Newtown, CT 06470-1644
(41.414059, -73.303706)"
Stonington School District,Stonington High School,Public Schools,1376111,176 South Broad St.,Pawcatuck,06379-1924,860-599-5781,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"176 South Broad St.
Pawcatuck, CT 06379-1924
(41.367539, -71.862829)"
Waterbury School District,Bunker Hill School,Public Schools,1510611,170 Bunker Hill Ave.,Waterbury,06708-2226,203-574-8183,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"170 Bunker Hill Ave.
Waterbury, CT 06708-2226
(41.567635, -73.063141)"
Plainville School District,Plainville High School,Public Schools,1106111,47 Robert Holcomb Way,Plainville,06062,860-793-3220,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"47 Robert Holcomb Way
Plainville, CT 06062
(41.666079, -72.857441)"
Seymour School District,Seymour High School,Public Schools,1246111,2 Botsford Rd.,Seymour,06483-2302,203-888-2561,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"2 Botsford Rd.
Seymour, CT 06483-2302
(41.381504, -73.096883)"
Stafford School District,West Stafford School,Public Schools,1340411,153 West Stafford Rd.,Stafford Springs,06076-1017,860-684-3181,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"153 West Stafford Rd.
Stafford Springs, CT 06076-1017
(41.968928, -72.346309)"
Cheshire School District,Highland School,Public Schools,0250411,490 Highland Ave.,Cheshire,06410-2518,203-272-0335,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"490 Highland Ave.
Cheshire, CT 06410-2518
(41.510423, -72.899351)"
Guilford School District,E. C. Adams Middle School,Public Schools,0605111,233 Church St.,Guilford,06437-2403,203-453-2755,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"233 Church St.
Guilford, CT 06437-2403
(41.292599, -72.686016)"
Waterbury School District,Rotella Interdistrict Magnet School,Public Schools,1513311,380 Pierpont Rd.,Waterbury,06705,203-574-8168,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1999-07-01T00:00:00.000,1,"380 Pierpont Rd.
Waterbury, CT 06705
(41.549048, -72.971931)"
Hampton School District,Hampton School District,Public School Districts,0630011,380 Main Street,Hampton,06247-1416,860-455-2267,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1996-07-01T00:00:00.000,0,"380 Main Street
Hampton, CT 06247-1416
(41.792028, -72.059904)"
Unified School District #1,Osborn Correctional Institution,State Agency Facilities,3361215,P.O. Box 100,Somers,06071,860-814-4783,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,
East Granby School District,East Granby School District,Public School Districts,0400011,"33 Turkey Hill Road, Box 674",East Granby,06026,860-653-6486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"33 Turkey Hill Road, Box 674
East Granby, CT 06026
(41.824065, -72.734583)"
Regional School District 05,Amity Middle School: Orange,Regional Schools,2055212,100 Ohman Ave.,Orange,06477-1328,203-392-3200,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2002-07-01T00:00:00.000,0,"100 Ohman Ave.
Orange, CT 06477-1328
(41.3009, -73.005097)"
Capitol Region Education Council,Montessori Magnet School,Regional Education Service Center Schools,2413114,1460 Broad St.,Hartford,06106,860-757-6117,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2000-07-01T00:00:00.000,1,"1460 Broad St.
Hartford, CT 06106
(41.749562, -72.687108)"
Waterford School District,Clark Lane Middle School,Public Schools,1525111,105 Clark Ln.,Waterford,06385-2199,860-443-2837,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"105 Clark Ln.
Waterford, CT 06385-2199
(41.351281, -72.127983)"
New Canaan School District,East School,Public Schools,0900411,54 Little Brook Rd.,New Canaan,06840-4999,203-594-4219,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"54 Little Brook Rd.
New Canaan, CT 06840-4999
(41.148426, -73.479247)"
Mansfield School District,Mansfield Middle School,Public Schools,0785111,205 Spring Hill Rd.,Storrs,06268-2819,860-429-9341,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"205 Spring Hill Rd.
Storrs, CT 06268-2819
(41.782452, -72.229807)"
Cromwell School District,Cromwell Middle School,Public Schools,0335111,6 Captain James Mann Memorial Dr.,Cromwell,06416-1356,860-632-4853,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"6 Captain James Mann Memorial Dr.
Cromwell, CT 06416-1356
(41.627469, -72.656482)"
Stamford School District,Davenport Ridge School,Public Schools,1352011,1300 Newfield Ave.,Stamford,06905-1413,203-977-4291,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"1300 Newfield Ave.
Stamford, CT 06905-1413
(41.103113, -73.530746)"
Wallingford School District,Wallingford School District,Public School Districts,1480011,100 South Turnpike Road,Wallingford,06492,203-949-6500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"100 South Turnpike Road
Wallingford, CT 06492
(41.446922, -72.844859)"
New Haven School District,John S. Martinez Sea and Sky STEM School,Public Schools,0930811,100 James St.,New Haven,06513,475-220-2000,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2004-07-01T00:00:00.000,0,"100 James St.
New Haven, CT 06513
(41.305165, -72.902703)"
North Haven School District,Green Acres Elementary School,Public Schools,1010711,146 Upper State St.,North Haven,06473-1280,203-239-5387,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"146 Upper State St.
North Haven, CT 06473-1280
(41.406576, -72.864864)"
Stratford School District,Bunnell High School,Public Schools,1386211,1 Bulldog Blvd.,Stratford,06614-2333,203-385-4250,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"1 Bulldog Blvd.
Stratford, CT 06614-2333
(41.225924, -73.136201)"
Regional School District 13,Frederick Brewster School,Regional Schools,2130112,126 Tuttle Rd.,Durham,06422-2213,860-349-7227,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0,"126 Tuttle Rd.
Durham, CT 06422-2213
(41.467894, -72.701834)"
Derby School District,Little Raiders University,Public Schools,0370111,75 Chatfield Street,Derby,06418,203-446-4224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-08-26T00:00:00.000,,"75 Chatfield Street
Derby, CT 06418
(41.336536, -73.098033)"
Berlin School District,Mary E. Griswold School,Public Schools,0070511,133 Heather Ln.,Kensington,06037-2056,860-828-6336,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"133 Heather Ln.
Kensington, CT 06037-2056
(41.636587, -72.785158)"
Learn,Learn,Regional Education Service Center School Districts,2450014,44 Hatchetts Hill Road,Old Lyme,06371,860-434-4800,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2000-07-01T00:00:00.000,0,"44 Hatchetts Hill Road
Old Lyme, CT 06371
(41.317933, -72.265989)"
Lebanon School District,Lyman Memorial High School,Public Schools,0716211,917 Exeter Rd.,Lebanon,06249-1742,860-642-7567,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1992-07-01T00:00:00.000,0,"917 Exeter Rd.
Lebanon, CT 06249-1742
(41.625728, -72.240716)"
Tolland School District,Tolland Middle School,Public Schools,1425111,1 Falcon Way,Tolland,06084-3048,860-870-6860,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"1 Falcon Way
Tolland, CT 06084-3048
(41.874318, -72.349599)"
Branford School District,Mary T. Murphy School,Public Schools,0141411,14 Brushy Plain Rd.,Branford,06405-6001,203-483-1832,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"14 Brushy Plain Rd.
Branford, CT 06405-6001
(41.29368, -72.819486)"
West Hartford School District,Whiting Lane School,Public Schools,1551311,47 Whiting Ln.,West Hartford,06119-1642,860-233-8541,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"47 Whiting Ln.
West Hartford, CT 06119-1642
(41.762644, -72.724197)"
Bristol School District,Stafford School,Public Schools,0171211,212 Louisiana Ave.,Bristol,06010-4456,860-584-7824,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1998-07-01T00:00:00.000,0,"212 Louisiana Ave.
Bristol, CT 06010-4456
(41.68927, -72.91757)"
New London School District,Winthrop STEM Elementary Magnet School,Public Schools,0950811,74 Grove Street,New London,06320,860-447-6070,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,1,"74 Grove Street
New London, CT 06320
(41.367993, -72.099083)"
Wilton School District,Wilton School District,Public School Districts,1610011,"395 Danbury Road, Box 277",Wilton,06897,203-762-3381,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"395 Danbury Road, Box 277
Wilton, CT 06897
(41.2109, -73.431868)"
